month,period_start,period_end,rainfall_mm_lake_victoria,rainfall_mm_simiyu
Jan,2001,2019,3.176,2.908473684
Feb,2001,2019,3.477,1.8
Mar,2001,2019,4.687052632,2.981052632
Apr,2001,2019,7.004526316,4.753578947
May,2001,2019,9.362789474,4.077473684
Jun,2001,2019,3.430210526,1.046947368
Jul,2001,2019,1.764421053,0.1952105263
Aug,2001,2019,2.812631579,0.3336315789
Sep,2001,2019,3.978894737,1.205842105
Oct,2001,2019,5.318421053,2.454736842
Nov,2001,2019,5.118473684,3.091421053
Dec,2001,2019,4.168105263,3.890052632
